white_id,white_rating,black_id,black_rating,elo_diff,winner,victory_status,turns,moves
burks,1016,lance5500,2621,-1605,black,mate,48,Nf3 Nf6 d4 g6 Bg5 Bg7 Nc3 d5 Qd3 Bf5 Qb5+ Nc6 Qa4 O-O O-O-O a6 Qb3 b5 Nxb5 axb5 a4 Ne4 Qxb5 Qd6 Rd3 Nxf2 Rg1 Nxd3+ cxd3 Rfb8 Qxb8+ Rxb8 Nh4 Nxd4 Nxf5 gxf5 Be3 Qc5+ Kd2 Nb3+ Ke1 Qxe3 d4 Rb6 h4 Rc6 g3 Rc1#
burks,1016,lance5500,2621,-1605,black,mate,40,Nc3 c5 Nf3 Nc6 Nb5 Nf6 c4 g6 Ng5 Bg7 d3 O-O Bf4 e5 e3 exf4 exf4 Re8+ Be2 d5 cxd5 Nxd5 Qb3 Nxf4 Qxf7+ Kh8 h4 Nxe2 Rf1 Nc3+ Qxe8+ Qxe8+ Kd2 Qe2+ Kc1 Nxb5 Rh1 Bxb2+ Kb1 Na3#
dinobzik,1214,lance5500,2621,-1407,black,resign,58,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 Nxc6 bxc6 g3 Bg4 Qd3 g6 Bg2 Bg7 e5 Nd7 exd6 O-O dxe7 Qxe7+ Be3 Ne5 Qd4 Nf3+ Bxf3 Bxd4 Bxg4 Bxe3 fxe3 Qxe3+ Ne2 Rad8 Rd1 Rxd1+ Kxd1 Rd8+ Ke1 Rd2 Kf1 Rxc2 h4 Rxb2 Rh2 Rxa2 Rf2 h5 Bf3 Rc2 Kg2 a5 g4 hxg4 Bxg4 a4
crazyscientist1,1015,unicornz,2305,-1290,black,resign,22,e4 g6 d4 Bg7 Nc3 d6 f4 Nf6 Nf3 O-O Bd3 c5 e5 dxe5 dxe5 Nd5 Ne4 Nc6 Nxc5 Qa5+ Bd2 Qxc5
raulelbueno,1384,lance5500,2621,-1237,black,resign,22,f3 e5 g3 d5 Bg2 Nf6 b3 Be7 Na3 O-O Bb2 Nc6 Bc3 Bxa3 Ba5 Nxa5 Bh3 Bc5 a4 Bxg1 Rxg1 Bxh3
aleksander10032007,1433,lance5500,2621,-1188,black,resign,68,e4 c5 Nf3 d6 d4 Nf6 e5 dxe5 dxe5 Qxd1+ Kxd1 Ng4 Ke1 Nc6 Bf4 g5 Bg3 Bg7 Be2 Ngxe5 Bxe5 Nxe5 Nxg5 Ng6 Bb5+ Kf8 Nc3 Bxc3+ bxc3 Kg7 Bc4 e6 Rb1 b6 f3 Bb7 Bd3 Rhd8 Kf2 Rd7 Rhd1 Rad8 Ke2 h6 Nh3 Ne5 Be4 Bxe4 fxe4 Rxd1 Rxd1 Rxd1 Kxd1 Ng4 Nf4 Nxh2 Nh5+ Kg6 Nf4+ Kg5 Nh3+ Kg4 Nf2+ Kg3 Nh1+ Kxg2 Ng3 Kxg3
samuelpro,1157,critico-82,2312,-1155,black,resign,8,e4 c5 Bc4 e6 Qf3 Nc6 e5 Nxe5
mamaduck,1334,sparklehorse,2475,-1141,black,resign,54,d4 e6 c4 b6 Nc3 Bb7 a3 g6 e4 Bg7 Nf3 d6 Be2 Nd7 O-O Ne7 d5 Bxc3 bxc3 e5 Bh6 f6 Bg7 Rg8 Bxf6 Nxf6 Ng5 Bc8 Bg4 Bxg4 Qa4+ Bd7 Qd1 h6 Ne6 Bxe6 dxe6 Qc8 f4 Qxe6 Qa4+ Nd7 Rf3 a5 f5 gxf5 Raf1 f4 Kh1 O-O-O Rb1 Nc5 Qb5 Qd7
anonymous_enemy,1500,lance5500,2621,-1121,black,resign,86,b3 Nf6 Bb2 g6 e3 Bg7 Nf3 O-O c4 c5 d4 d5 Bd3 Nc6 O-O Bg4 dxc5 dxc4 Bxc4 Qa5 h3 Rfd8 Qe2 Bxf3 Qxf3 Qxc5 Rd1 Rxd1+ Qxd1 Rd8 Qe2 Ne4 Bxg7 Kxg7 Qb2+ e5 Nc3 Nxc3 Qxc3 b5 Rc1 bxc4 bxc4 h5 Rb1 Rd7 Rb5 Rd1+ Kh2 Qd6 f4 Rd3 fxe5 Qd8 Qb2 Rd2 Qc3 Qd3 Qa1 Qe2 e6+ f6 Rg5 Qxe3 Rg3 Qxe6 Qb1 Ne5 Qb7+ Qd7 Qe4 Rd1 Qe2 Qd4 Re3 Rd2 Qe1 Rxa2 Rb3 Rb2 Rxb2 Qxb2 Qd1 Qb8 Kh1 Qc7
grsa,1254,grandmasterreturn,2344,-1090,black,resign,13,d4 Nf6 c4 e6 Nf3 d5 Nc3 c6 Bf4 Qa5 e3 Bb4 cxd5
